1,Solution Budget,Service,8248
2,Solution Cultural,Software,9666
3,Solution None,Hardware,4166
4,Solution Increase,Software,8176
5,Solution Near,Hardware,2695
6,Solution None,Hardware,7948
7,Solution Performance,Software,6166
8,Solution Hear,Hardware,6881
9,Solution Black,Software,7899
10,Solution Door,Software,7420
11,Solution Do,Service,8755
12,Solution Place,Service,9783
13,Solution Oil,Hardware,3151
14,Solution Big,Software,6062
15,Solution Add,Service,9477
16,Solution Give,Software,4934
17,Solution That,Hardware,2971
18,Solution Church,Software,851
19,Solution Time,Hardware,8676
20,Solution Maintain,Software,5755
