OPP-00001,3,83,6,2023-08-20,2023-10-11,Qualification,50,39740,0.04
OPP-00002,10,12,5,2024-07-10,2024-09-11,Prospecting,90,24255,0.14
OPP-00003,15,12,13,2024-06-17,2024-10-31,Negotiation,25,6302,0.06
OPP-00004,6,66,6,2023-03-17,2023-05-10,Negotiation,75,55636,0.03
OPP-00005,12,100,20,2023-06-13,2023-09-17,Closed Won,100,46040,0.04
OPP-00006,13,9,20,2023-09-21,2024-02-08,Prospecting,75,17265,0.2
OPP-00007,10,37,1,2023-11-22,2024-04-23,Prospecting,75,65984,0.0
OPP-00008,2,92,2,2023-09-02,2023-12-29,Qualification,50,96660,0.12
OPP-00009,8,69,12,2023-02-06,2023-04-04,Negotiation,25,48915,0.03
OPP-00010,13,94,10,2024-08-20,2025-01-03,Closed Lost,0,66780,0.01
OPP-00011,3,20,7,2023-09-01,2024-02-08,Qualification,50,43162,0.02
OPP-00012,12,84,1,2024-09-04,2025-02-18,Closed Won,100,57736,0.2
OPP-00013,4,20,4,2023-10-19,2024-02-07,Closed Won,100,16352,0.06
OPP-00014,5,72,18,2024-08-27,2024-10-29,Prospecting,75,5957,0.17
OPP-00015,7,24,16,2024-03-20,2024-06-21,Prospecting,75,29604,0.15
OPP-00016,9,42,18,2023-12-10,2024-01-03,Negotiation,75,5957,0.02
OPP-00017,9,29,3,2024-05-08,2024-08-12,Negotiation,10,12498,0.03
OPP-00018,1,62,12,2023-08-01,2023-08-22,Negotiation,90,68481,0.0
OPP-00019,5,58,9,2023-12-19,2024-06-15,Negotiation,90,47394,0.08
OPP-00020,2,55,12,2023-05-18,2023-08-29,Negotiation,10,9783,0.0
OPP-00021,10,35,6,2023-11-14,2024-03-12,Negotiation,75,63584,0.11
OPP-00022,10,86,12,2024-07-10,2024-09-29,Closed Lost,0,88047,0.01
OPP-00023,12,16,17,2023-04-09,2023-06-20,Prospecting,90,23768,0.15
OPP-00024,3,64,4,2023-06-25,2023-12-05,Closed Lost,0,73584,0.01
OPP-00025,13,62,19,2023-01-29,2023-04-30,Prospecting,75,17352,0.14
OPP-00026,9,65,17,2023-05-19,2023-07-12,Proposal,75,5942,0.01
OPP-00027,2,18,13,2024-08-11,2024-11-26,Prospecting,90,25208,0.14
OPP-00028,11,34,4,2023-12-28,2024-03-18,Proposal,75,24528,0.03
OPP-00029,12,51,19,2023-02-26,2023-04-18,Closed Won,100,60732,0.19
OPP-00030,1,66,11,2023-06-06,2023-10-01,Prospecting,10,52530,0.12
OPP-00031,6,22,4,2023-10-22,2024-03-13,Qualification,25,8176,0.07
OPP-00032,11,79,5,2023-01-24,2023-02-26,Proposal,50,21560,0.14
OPP-00033,11,32,20,2023-12-10,2024-01-13,Proposal,90,23020,0.04
OPP-00034,14,13,14,2023-03-03,2023-08-24,Prospecting,25,36372,0.09
OPP-00035,14,79,8,2023-09-21,2024-01-02,Qualification,25,20643,0.09
OPP-00036,6,21,19,2024-05-09,2024-08-11,Proposal,90,78084,0.05
OPP-00037,8,48,12,2024-05-06,2024-06-10,Closed Lost,0,9783,0.19
OPP-00038,10,72,17,2023-10-18,2023-12-08,Prospecting,10,5942,0.13
OPP-00039,4,23,3,2023-09-22,2023-11-27,Closed Won,100,41660,0.07
OPP-00040,13,27,8,2023-06-20,2023-08-13,Qualification,10,61929,0.01
OPP-00041,5,69,5,2023-01-28,2023-04-22,Prospecting,75,24255,0.13
OPP-00042,14,29,19,2024-05-18,2024-09-30,Negotiation,75,86760,0.16
OPP-00043,13,47,17,2023-09-16,2023-10-04,Proposal,10,5942,0.2
OPP-00044,12,15,3,2024-01-19,2024-06-28,Proposal,75,8332,0.17
OPP-00045,7,3,3,2024-01-29,2024-04-02,Qualification,50,29162,0.06
OPP-00046,1,49,19,2024-11-16,2025-01-30,Prospecting,25,52056,0.14
OPP-00047,9,28,8,2023-05-01,2023-05-24,Closed Won,100,34405,0.03
OPP-00048,12,32,10,2024-01-14,2024-04-19,Negotiation,75,59360,0.1
OPP-00049,12,64,2,2023-04-02,2023-09-02,Negotiation,25,9666,0.13
OPP-00050,13,87,3,2023-12-26,2024-02-17,Qualification,50,33328,0.06
